,AUSTRALIA,AUSTRIA,BELGIUM,CANADA,DENMARK,FINLAND,FRANCE,GERMANY,GREECE,IRELAND,ITALY,JAPAN,NETHERLANDS,NEW ZEALAND,NORWAY,PORTUGAL,SPAIN,SWEDEN,SWITZERLAND,UNITED KINGDOM,USA
,105.076,138.074,,213.421,238.284,449.549,113.753,,,,,731.173,202.09,35.97,282.052,,34.127,252.825,199.144,169.74,154.698
,97.291,138.672,,216.326,236.749,386.266,112.025,,,,,758.51,202.815,42.2,278.352,,33.215,247.219,198.885,171.325,158.006
,103.004,138.99,,233.048,255.809,347.606,118.241,,,,,754.042,219.356,41.798,315.983,,39.092,269.038,205.273,174.448,170.103
,92.884,151.661,,222.775,241.328,334.639,114.893,,,,,778.087,215.694,38.954,293.215,,36.063,249.601,193.184,164.631,171.522
,95.033,175.81,,227.926,259.397,336.422,128.946,,,,,821.808,231.171,39.49,296.106,,38.752,257.795,209.776,190.173,171.384
,93.371,224.875,,228.58,261.365,401.495,131.829,,,,,793.077,238.702,41.546,318.936,,37.572,261.375,218.462,194.143,170.398
,95.279,257.267,,235.202,272.016,421.015,142.721,,,,,820.087,232.661,43.627,325.691,,37.611,250.241,225.447,203.266,180.337
,95.481,274.22,,233.265,286.189,397.83,138.363,,,,,856.433,238.676,43.881,308.465,,36.65,246.65,244.806,195.743,182.368
,112.293,269.758,,243.771,329.534,386.679,141.178,,,,,860.062,259.611,50.091,354.211,,39.736,272.392,276.538,219.257,181.208
,108.627,279.405,,240.532,312.098,410.993,147.167,,,,,880.046,261.687,60.072,354.978,,39.221,267.172,290.739,230.143,178.954
,115.718,291.251,,224.844,323.797,394.381,145.344,,,,,972.687,263.273,61.805,385.134,,39.749,279.818,289.838,221.205,172.684
,119.205,291.038,,228.286,347.93,436.365,157.051,,,,,1002.606,278.906,61.973,445.243,,43.406,303.446,330.168,244.161,179.909
,111.797,359.61,,242.495,346.859,460.503,182.353,,,,,1016.762,299.35,65.928,468.647,,46.781,351.96,365.969,262.238,191.79
,113.069,377.229,,242.813,373.649,450.939,199.903,,,,,1076.096,312.834,70.676,457.438,,48.061,380.222,402.694,250.668,201.05
